symbol,date,from,to
SCCO,2026-02-10,1,1.0085
SCCO,2025-11-12,1,1.0085
SCCO,2025-08-15,1,1.0101
SCCO,2025-05-02,1,1.0099
SCCO,2025-02-11,1,1.0073
SCCO,2024-11-06,1,1.0062
SCCO,2024-08-09,1,1.0056
SCCO,2012-02-13,1,1.0107
SCCO,2008-07-10,1,3
SCCO,2006-10-03,1,2
PHG,2026-05-13,1,1.037127656
PHG,2025-05-13,1,1.0423095962
PHG,2024-05-09,1,1.03416654
PHG,2023-05-11,1,1.0446616
PHG,2022-05-12,1,1.0366053648
PHG,2021-05-10,1,1.0185433116
PHG,2020-06-30,1,1.02028516
PHG,2019-05-13,1,1.024025005
PHG,2018-05-07,44.2563,45.2563
PHG,2017-05-12,39.7547,40.7547
PHG,2016-05-13,28.9678,29.9678
PHG,2015-05-08,30.5329,31.5329
KALA,2026-05-11,50,1
KALA,2022-10-21,50,1
KALA,2022-08-26,1,1.001
DKI,2026-05-11,16,1
ASBP,2026-05-11,30,1
ASBP,2026-01-16,40,1
AIXI,2026-05-11,20,1
AIXI,2024-08-23,9,1
OLOX,2026-05-08,10,1
OLOX,2025-09-08,64,1
CVNA,2026-05-08,1,5
BNZI,2026-05-08,20,1
BNZI,2025-07-08,10,1
BNZI,2024-09-19,50,1
SBS,2026-05-07,1,5
SBS,2026-03-27,1,1.0016098
SBS,2025-12-29,1,1.029646975
SBS,2013-04-30,1,3
SBS,2013-01-24,1,2
CHSN,2026-05-07,100,1
CHSN,2025-08-18,80,1
MIMI,2026-05-06,10,1
GOVZ,2026-05-05,4,1
FIGG,2026-05-05,20,1
DUOG,2026-05-05,10,1
CRWG,2026-05-05,10,1
CRWG,2022-10-26,40000,1
CRCG,2026-05-05,10,1
BMNG,2026-05-05,20,1
BAIG,2026-05-05,10,1
VEEE,2026-05-04,37,1
VEEE,2025-04-08,10,1
TRI,2026-05-04,1.015682,1
TRI,2023-06-23,1.037391,1
TRI,2018-11-27,1.1014,1
INHD,2026-05-04,20,1
INHD,2025-12-22,24,1
INHD,2024-10-10,10,1
FCHL,2026-05-04,30,1
FCHL,2026-03-23,15,1
ERNA,2026-05-04,25,1
ERNA,2025-06-12,15,1
TLIH,2026-05-01,10,1
MSTP,2026-05-01,20,1
MRAL,2026-05-01,10,1
GMEX,2026-05-01,7,1
GMEX,2026-01-08,8,1
UK,2026-04-30,10,1
UK,2023-11-30,12,1
UK,2022-04-22,20,1
JAGX,2026-04-30,35,1
JAGX,2026-03-02,1,1.1
JAGX,2025-03-24,25,1
JAGX,2024-05-23,60,1
JAGX,2023-01-23,75,1
JAGX,2021-09-08,3,1
JAGX,2019-06-07,70,1
JAGX,2018-06-01,15,1
AIRE,2026-04-30,25,1
IWF,2026-04-29,1,4
HDV,2026-04-29,1,5
CTNT,2026-04-29,200,1
CTNT,2024-10-24,16,1
BRAI,2026-04-29,1,3
VNRX,2026-04-28,20,1
ISPC,2026-04-28,40,1
ISPC,2024-09-16,20,1
DGNX,2026-04-28,8,1
DGNX,2025-09-09,1,8
UP,2026-04-27,20,1
UP,2023-06-08,10,1
OCG,2026-04-27,3,1
OCG,2026-01-16,220,1
OCG,2023-10-18,5,1
IMUX,2026-04-27,10,1
DRCT,2026-04-27,4,1
DRCT,2026-01-12,55,1
CISS,2026-04-27,7,1
CISS,2026-01-26,20,1
CISS,2025-04-04,6,1
CISS,2025-01-02,2.5,1
CISS,2024-04-12,100,1
AIOS,2026-04-27,20,1
TDTH,2026-04-24,30,1
SOWG,2026-04-24,15,1
OIO,2026-04-24,3,1
MSS,2026-04-24,10,1
GEMG,2026-04-24,20,1
CUE,2026-04-24,30,1
BULG,2026-04-24,20,1
IPST,2026-04-23,20,1
IPST,2025-11-05,20,1
TOUR,2026-04-22,10,1
KUST,2026-04-22,5,1
VUG,2026-04-21,1,6
VOOG,2026-04-21,1,6
VO,2026-04-21,1,4
VGT,2026-04-21,1,8
MGK,2026-04-21,1,5
KITT,2026-04-21,8,1
KITT,2025-09-05,9,1
KITT,2024-07-23,36,1
WHLR,2026-04-20,3,1
WHLR,2026-01-20,3,1
WHLR,2025-12-01,2,1
WHLR,2025-09-23,5,1
WHLR,2025-05-27,7,1
WHLR,2025-03-27,5,1
WHLR,2025-01-28,4,1
WHLR,2024-11-19,2,1
WHLR,2024-09-20,3,1
WHLR,2024-06-28,5,1
WHLR,2024-05-17,24,1
WHLR,2023-08-18,10,1
WHLR,2017-04-03,8,1
RAYA,2026-04-20,10,1
RAYA,2025-09-30,220,1
LXEH,2026-04-20,10,1
LXEH,2024-09-30,10,1
LXEH,2024-01-03,2,1
LRHC,2026-04-20,10,1
LRHC,2026-01-26,10,1
LRHC,2025-07-07,80,1
EHGO,2026-04-20,16,1
CMCT,2026-04-20,10,1
CMCT,2026-03-26,10,1
CMCT,2025-04-15,25,1
CMCT,2025-01-06,10,1
CMCT,2024-09-25,1,1.0201500000000001
CMCT,2019-09-03,3,1
PMAX,2026-04-17,10,1
PMAX,2025-10-06,8,1
PMAX,2007-08-24,1000,1
NMTC,2026-04-16,6,1
NMTC,2021-04-01,3,1
EOSU,2026-04-15,25,1
BNRG,2026-04-15,5,1
BNRG,2026-01-26,7,1
BNRG,2025-06-20,5,1
BNRG,2023-12-04,10,1
WFF,2026-04-13,5,1
QNCX,2026-04-13,10,1
PN,2026-04-13,20,1
NXPL,2026-04-13,10,1
MSAI,2026-04-13,40,1
JEM,2026-04-13,20,1
HCAI,2026-04-13,30,1
CENN,2026-04-13,60,1
CENN,2023-12-08,10,1
CENN,2021-12-22,15,1
CENN,2019-12-20,100,1
AKAN,2026-04-13,4.5,1
AKAN,2026-01-12,5,1
AKAN,2025-08-26,3.125,1
AKAN,2024-11-14,2,1
AKAN,2024-05-23,40,1
AKAN,2023-03-09,10,1
RUBI,2026-04-09,10,1
RUBI,2026-02-12,7.8,1
RUBI,2025-12-02,30,1
SMUP,2026-04-08,25,1
RDGT,2026-04-08,150,1
NXTS,2026-04-08,7,1
JTAI,2026-04-08,200,1
JTAI,2024-11-12,225,1
MOVE,2026-04-07,1,1.358
MOVE,2025-10-10,10,1
MOVE,2024-10-29,15,1
MOVE,2011-11-21,4,1
MOBX,2026-04-07,10,1
CHR,2026-04-07,3,1
CHR,2025-12-23,50,1
CHR,2023-11-27,10,1
XRTX,2026-04-06,5,1
XRTX,2023-11-14,9,1
WNW,2026-04-06,100,1
WNW,2025-04-01,20,1
WNW,2023-12-20,35,1
SKK,2026-04-06,10,1
SKK,2014-01-24,4,1
SKK,2011-02-25,5,1
POWL,2026-04-06,1,3
LNKS,2026-04-06,250,1
INLF,2026-04-06,16,1
HTCR,2026-04-06,20,1
GNLN,2026-04-06,8,1
GNLN,2025-06-27,750,1
GNLN,2024-08-05,11,1
GNLN,2023-06-07,10,1
GNLN,2022-08-10,20,1
BKNG,2026-04-06,1,25
BKNG,2003-06-16,6,1
BDRX,2026-04-06,5,1
BDRX,2025-07-31,10,1
BDRX,2024-10-04,25,1
BDRX,2023-07-05,80,1
BDRX,2023-03-27,4,1
BDRX,2022-09-26,5,1
BDRX,2020-03-03,5,1
BDRX,2019-04-08,10,1
BCAB,2026-04-06,50,1
AIIO,2026-04-06,20,1
PSTV,2026-04-02,25,1
PSTV,2023-05-01,15,1
PSTV,2019-08-06,50,1
PSTV,2018-05-24,10,1
PSTV,2016-05-12,15,1
NCT,2026-04-02,25,1
UCAR,2026-04-01,10,1
UCAR,2024-04-03,100,1
BARK,2026-04-01,20,1
AUUD,2026-04-01,7.7,1
AUUD,2025-03-31,17,1
AUUD,2024-02-27,25,1
PAVS,2026-03-31,12,1
PAVS,2025-12-18,100,1
PAVS,2022-10-11,20,1
MODD,2026-03-31,30,1
MODD,2021-11-29,3,1
AKTX,2026-03-31,40,1
AKTX,2023-08-17,20,1
AKTX,2015-09-17,10,1
AGL,2026-03-31,25,1
SVRN,2026-03-30,20,1
SVRN,2025-08-25,25,1
FBLG,2026-03-30,20,1
EJH,2026-03-30,25,1
EJH,2025-05-30,50,1
EJH,2024-09-24,10,1
EJH,2024-02-14,5,1
EJH,2023-09-25,10,1
EJH,2023-04-13,10,1
EJH,2022-10-04,20,1
ATXG,2026-03-30,15,1
ATXG,2023-06-30,10,1
ATXG,2019-03-05,20,1
TRUG,2026-03-27,10,1
TRUG,2025-06-23,50,1
LBGJ,2026-03-27,100,1
IVF,2026-03-27,5,1
IVF,2025-11-28,8,1
IVF,2025-07-21,3,1
CDT,2026-03-27,25,1
CDT,2025-10-13,8,1
CDT,2025-05-20,15,1
CDT,2025-01-27,100,1
CDT,2004-07-15,2,1
ADV,2026-03-27,25,1
RENX,2026-03-26,20,1
RENX,2008-01-07,67,58
APUS,2026-03-26,10,1
XTLB,2026-03-25,4,1
XTLB,2017-02-10,5,1
JFB,2026-03-25,1,2
VIVK,2026-03-24,200,1
VIVK,2022-02-14,30,1
VIVK,2013-12-16,1,10
PIPR,2026-03-24,1,4
FUBO,2026-03-24,12,1
YYGH,2026-03-23,50,1
XFLT,2026-03-23,5,1
STSM,2026-03-23,3,1
STSM,2008-07-25,200,1
RKLZ,2026-03-23,8,1
QPUX,2026-03-23,3,1
QBTZ,2026-03-23,3,1
OSCX,2026-03-23,4,1
OKLS,2026-03-23,3,1
MST,2026-03-23,7,1
MST,2025-12-09,4,1
EUDA,2026-03-23,20,1
DIT,2026-03-23,1,1.5
DIT,2004-05-17,6,1
CLMB,2026-03-23,1,4
AZI,2026-03-23,10,1
AZI,2025-12-12,50,1
AVXX,2026-03-23,3,1
RKTL,2026-03-20,2,1
QSU,2026-03-20,6,1
ORGN,2026-03-20,30,1
ORCX,2026-03-20,3,1
MPL,2026-03-20,3,1
IRE,2026-03-20,4,1
IRE,2011-10-14,10,1
DKNX,2026-03-20,5,1
CIIT,2026-03-20,7,1
CIIT,2017-04-06,40,1
VSTL,2026-03-19,3,1
SOUX,2026-03-19,4,1
SMCX,2026-03-19,2,1
SMCX,2024-11-18,20,1
RIOX,2026-03-19,3,1
RGTX,2026-03-19,4,1
RGTX,2025-12-09,1,4
MSTX,2026-03-19,10,1
MSTX,2017-04-27,70,1
MSTX,2010-04-26,25,1
IONX,2026-03-19,3,1
IONX,2025-12-09,1,2
HOOX,2026-03-19,3,1
HOOX,2025-12-09,1,4
HIMZ,2026-03-19,14,1
COOK,2026-03-18,50,1
ZJYL,2026-03-16,20,1
ZJYL,2024-02-08,1,20
XLO,2026-03-16,14,1
SKYQ,2026-03-16,8,1
NIVF,2026-03-16,4,1
NIVF,2026-01-26,3,1
NIVF,2025-12-01,5,1
NIVF,2025-08-04,5,1
NIVF,2025-05-05,10,1
NIVF,2025-02-11,20,1
MASK,2026-03-16,25,1
HBIO,2026-03-16,10,1
DXST,2026-03-16,25,1
CLIR,2026-03-16,10,1
STFS,2026-03-13,40,1
PED,2026-03-13,20,1
PED,2017-04-10,10,1
METCB,2026-03-13,1,1.014276
METCB,2025-12-05,1,1.01439
METCB,2025-09-05,1,1.011988
METCB,2024-12-02,1,1.023735
KXIN,2026-03-13,15,1
KXIN,2025-12-01,30,1
KXIN,2024-10-25,60,1
KXIN,2023-09-15,15,1
ZNB,2026-03-12,100,1
ELPW,2026-03-12,80,1
ELPW,2025-12-26,16,1
WLDSW,2026-03-11,3,1
WLDSW,2025-03-17,4,1
WLDSW,2024-10-10,20,1
WLDS,2026-03-11,3,1
WLDS,2025-03-17,4,1
WLDS,2024-10-10,20,1
UNX,2026-03-10,10,1
TSLS,2026-03-10,10,1
TEMT,2026-03-10,3,1
SMU,2026-03-10,3,1
SMU,2025-12-02,5,1
RGTU,2026-03-10,3,1
RGTU,2025-10-21,1,3
OPEX,2026-03-10,3,1
MUD,2026-03-10,10,1
LRCU,2026-03-10,1,3
LITX,2026-03-10,1,3
LABX,2026-03-10,3,1
JOBX,2026-03-10,3,1
IREX,2026-03-10,3,1
ELAB,2026-03-10,6,1
ELAB,2026-01-06,4,1
ELAB,2025-09-02,3.5,1
ELAB,2025-03-10,7,1
ELAB,2024-11-27,200,1
CRMX,2026-03-10,3,1
CRDU,2026-03-10,3,1
ARTL,2026-03-10,3,1
ARTL,2025-06-13,6,1
ARTL,2022-08-10,15,1
ARTL,2019-06-21,8,1
APPX,2026-03-10,3,1
APPX,2025-10-21,1,3
APPX,2003-09-03,2,3
APLX,2026-03-10,1,3
DCOY,2026-03-09,12,1
WCT,2026-03-06,50,1
TVGN,2026-03-06,50,1
GSIW,2026-03-06,200,1
DUKR,2026-03-06,25,1
TR,2026-03-05,1,1.03
TR,2025-03-05,1,1.03
TR,2024-03-05,1,1.03
TR,2023-03-03,1,1.03
TR,2022-03-04,1,1.03
TR,2021-03-04,1,1.03
TR,2020-03-02,1,1.03
TR,2019-03-04,1,1.03
TR,2018-03-05,1,1.03
TR,2017-03-03,1,1.03
TR,2016-03-04,1,1.03
TR,2015-03-06,1,1.03
TR,2014-02-28,1,1.03
TR,2013-03-01,1,1.03
TR,2012-03-02,1,1.03
TR,2011-03-04,1,1.03
TR,2010-03-05,1,1.03
TR,2009-03-06,1,1.03
TR,2008-03-06,1,1.03
TR,2007-03-07,1,1.03
TR,2006-03-08,1,1.03
TR,2005-03-09,100,103
TR,2004-02-27,100,103
SOXS,2026-03-05,20,1
SOXS,2024-04-15,10,1
SOXS,2022-03-28,10,1
SOXS,2020-08-28,12,1
SOXS,2019-06-28,10,1
SOXS,2017-05-01,5,1
SOXS,2015-05-20,4,1
SOXS,2013-08-20,4,1
SOXS,2011-02-24,5,1
JDST,2026-03-05,20,1
JDST,2024-07-01,10,1
JDST,2020-04-23,25,1
JDST,2017-05-01,4,1
JDST,2016-08-25,5,1
JDST,2016-05-18,10,1
JDST,2015-10-01,4,1
HIBS,2026-03-05,10,1
HIBS,2023-08-28,10,1
HIBS,2021-01-11,20,1
DUST,2026-03-05,10,1
DUST,2024-11-04,10,1
DUST,2020-04-23,25,1
DUST,2016-08-25,5,1
DUST,2016-05-18,10,1
DUST,2013-08-20,1,2
AEHL,2026-03-05,6,1
AEHL,2025-04-04,40,1
AEHL,2023-09-18,10,1
SPRC,2026-03-04,9,1
SPRC,2025-07-03,21,1
SPRC,2023-09-28,26,1
BWAY,2026-03-04,1,2
MRDN,2026-03-03,12,1
MRDN,2016-11-03,20,1
PPBT,2026-03-02,10,1
PPBT,2024-09-17,20,1
PPBT,2020-08-21,10,1
BURU,2026-03-02,4.99,1
BURU,2024-07-24,40,1
XRPT,2026-02-27,20,1
VCIG,2026-02-27,60,1
VCIG,2025-09-16,30,1
VCIG,2025-04-03,20,1
VCIG,2024-11-05,49,1
SOLT,2026-02-27,20,1
SFHG,2026-02-27,5,1
SF,2026-02-27,1,1.5
SF,2020-12-17,1,1.5
SF,2011-04-06,2,3
SF,2008-06-13,2,3
PTLE,2026-02-27,80,1
IXHL,2026-02-27,30,1
FNRN,2026-02-27,1,1.05
FNRN,2025-02-28,1,1.05
FNRN,2024-02-28,1,1.05
FNRN,2023-02-27,1,1.05
FNRN,2022-02-25,1,1.05
FNRN,2021-02-25,1,1.05
FNRN,2020-02-27,1,1.05
FNRN,2019-02-27,1,1.05
FNRN,2018-02-27,1,1.04
FNRN,2017-02-24,1,1.04
FNRN,2016-02-25,1,1.04
FNRN,2015-02-25,1,1.04
FNRN,2005-05-12,1,2
ZSL,2026-02-26,10,1
ZSL,2024-11-07,4,1
ZSL,2021-05-26,4,1
ZSL,2015-11-13,1,2
ZSL,2012-05-11,5,1
ZSL,2011-02-25,4,1
ZSL,2010-04-15,10,1
FRSX,2026-02-26,3,1
FRSX,2025-08-25,7,1
FRSX,2023-04-21,6,1
CRCA,2026-02-26,10,1
SVRE,2026-02-25,4,1
SVRE,2025-12-10,3,1
SVRE,2025-06-11,3,1
SVRE,2025-02-21,13.33,1
SVRE,2024-10-28,18,1
TRNR,2026-02-24,10,1
TRNR,2025-06-27,10,1
TRNR,2024-11-11,100,1
TRNR,2024-06-14,40,1
SPYU,2026-02-24,1,2
SHNY,2026-02-24,1,10
OILD,2026-02-24,10,1
OILD,2022-12-02,10,1
NRGD,2026-02-24,5,1
NRGD,2022-12-02,10,1
NRGD,2022-04-11,50,1
NRGD,2021-03-29,10,1
LFWD,2026-02-24,12,1
LFWD,2024-03-15,7,1
FLYD,2026-02-24,10,1
FLYD,2024-03-25,10,1
DULL,2026-02-24,50,1
BULZ,2026-02-24,1,10
BULZ,2022-10-31,10,1
BNKD,2026-02-24,5,1
BNKD,2024-04-29,5,1
BNKD,2021-03-29,10,1
BERZ,2026-02-24,20,1
BERZ,2024-03-25,10,1
MWG,2026-02-23,10,1
DSY,2026-02-23,20,1
BYAH,2026-02-20,50,1
ADVB,2026-02-20,20,1
ZDAI,2026-02-19,16,1
INTS,2026-02-19,25,1
AURE,2026-02-19,10,1
NDLS,2026-02-18,8,1
WTO,2026-02-17,5,1
WTO,2025-11-21,100,1
WTO,2025-03-31,10,1
WTO,2024-09-11,25,1
INTJ,2026-02-17,20,1
EEIQ,2026-02-17,16,1
FGNX,2026-02-13,5,1
FGNX,2024-10-31,25,1
CRE,2026-02-13,12,1
HCTI,2026-02-10,60,1
HCTI,2025-08-01,249,1
HCTI,2023-05-26,10,1
HCTI,2016-07-15,200,1
FGL,2026-02-10,100,1
ATPC,2026-02-10,50,1
ATPC,2024-08-30,20,1
ANY,2026-02-10,10,1
ANY,2023-06-29,7,1
ANY,2018-11-06,8,1
ANY,2017-07-12,25,1
XRX,2026-02-09,2,3
XRX,2017-06-15,4,1
XRX,2017-01-03,1000,1518
UGRO,2026-02-09,25,1
UGRO,2021-01-06,6,1
PFSA,2026-02-09,75,1
HERZ,2026-02-09,10,1
GDXD,2026-02-09,10,1
GDXD,2025-10-22,20,1
GDXD,2024-04-29,10,1
FNGD,2026-02-09,10,1
FNGD,2024-03-25,10,1
FNGD,2021-12-06,20,1
FNGD,2020-07-20,10,1
FCUV,2026-02-09,10,1
FCUV,2025-01-31,10,1
FCUV,2023-03-24,2,3
EDHL,2026-02-09,16,1
AWP,2026-02-09,3,1
RLYB,2026-02-06,8,1
PRFX,2026-02-06,5,1
PRFX,2024-11-21,4,1
PRFX,2024-09-09,6,1
PRFX,2023-07-03,10,1
ASST,2026-02-06,20,1
ASST,2024-07-02,5,1
ADIL,2026-02-06,25,1
ADIL,2023-08-07,25,1
RVSN,2026-02-04,30,1
RVSN,2023-11-15,8,1
SXTC,2026-02-03,150,1
SXTC,2025-02-25,8,1
SXTC,2023-10-05,25,1
SXTC,2022-05-19,20,1
SXTC,2021-02-22,4,1
EDBL,2026-02-03,10,1
EDBL,2025-03-03,25,1
EDBL,2024-04-05,20,1
EDBL,2023-01-26,30,1
PBM,2026-02-02,6.25,1
